Source File Name:	small_signal_Bridge_new
Signal:	FFT - Vib & Ref1 H1 Velocity / Voltage - Mag. & Phase

Frequency	Magnitude	Phase
272750	0.7882781	178.1945
272812.5	0.7913141	177.8569
272875	0.7964168	177.8264
272937.5	0.8049761	177.9413
273000	0.8076594	178.7581
273062.5	0.8005112	178.8112
273125	0.8033104	178.8366
273187.5	0.8021932	179.0346
273250	0.8078309	178.6584
273312.5	0.8127539	179.3805
273375	0.8069079	179.4523
273437.5	0.8133012	179.51
273500	0.8239852	179.4671
273562.5	0.822544	179.8045
273625	0.827728	-179.7251
273687.5	0.8289338	-179.9564
273750	0.8255267	-179.5764
273812.5	0.8269007	-179.7769
273875	0.8319944	-179.418
273937.5	0.8384344	-179.0074
274000	0.8353886	-178.0035
274062.5	0.8355737	-178.5825
274125	0.8346362	-178.7521
274187.5	0.8340022	-179.0889
274250	0.840636	-178.9814
274312.5	0.8537633	-178.3115
274375	0.8607764	-178.2125
274437.5	0.8595768	-177.7308
274500	0.8513164	-177.5509
274562.5	0.8525021	-177.7603
274625	0.8577093	-177.5438
274687.5	0.8636135	-177.9181
274750	0.8700618	-177.6944
274812.5	0.8685778	-178.0276
274875	0.8752904	-177.3873
274937.5	0.8739995	-177.5254
275000	0.8752328	-177.2041
275062.5	0.8723454	-176.9435
275125	0.8743986	-177.0982
275187.5	0.8814216	-177.2072
275250	0.8915382	-177.4041
275312.5	0.8929188	-176.771
275375	0.9007682	-176.3601
275437.5	0.8915851	-176.5679
275500	0.8910036	-176.1228
275562.5	0.8951898	-176.5936
275625	0.8998967	-176.4586
275687.5	0.9078334	-176.3357
275750	0.9169816	-175.8892
275812.5	0.9083416	-175.6687
275875	0.9081697	-175.8466
275937.5	0.9031898	-175.8004
276000	0.9154528	-175.7182
276062.5	0.9165468	-175.628
276125	0.9174798	-175.4004
276187.5	0.9258265	-175.1813
276250	0.9274867	-175.4628
276312.5	0.9339756	-174.9041
276375	0.9290849	-174.9137
276437.5	0.9403039	-174.9574
276500	0.9355799	-175.4819
276562.5	0.9463882	-175.4504
276625	0.9481927	-174.5845
276687.5	0.9449406	-174.8478
276750	0.9549848	-175.1236
276812.5	0.9453623	-174.4923
276875	0.9449152	-174.6223
276937.5	0.9574444	-175.1116
277000	0.9598265	-175.2348
277062.5	0.9724856	-174.8657
277125	0.9674098	-174.243
277187.5	0.9708821	-174.3284
277250	0.9698809	-174.0411
277312.5	0.9700422	-174.9722
277375	0.9759767	-174.856
277437.5	0.9855686	-174.8326
277500	0.9859387	-174.3831
277562.5	0.9893337	-174.1529
277625	0.9872696	-173.5484
277687.5	0.9886801	-174.167
277750	0.9944342	-173.7652
277812.5	0.9956706	-173.9942
277875	0.9902922	-174.1095
277937.5	1.008594	-173.9228
278000	1.011848	-173.6904
278062.5	1.015131	-173.1842
278125	1.011374	-173.4318
278187.5	1.013135	-173.1732
278250	1.014458	-173.8168
278312.5	1.018733	-173.7641
278375	1.030898	-173.7358
278437.5	1.040292	-173.6386
278500	1.033538	-173.059
278562.5	1.032798	-173.2849
278625	1.034451	-173.6948
278687.5	1.030684	-173.5831
278750	1.043374	-173.4041
278812.5	1.051321	-173.6345
278875	1.057106	-173.6219
278937.5	1.055042	-172.9751
279000	1.056861	-172.9244
279062.5	1.059274	-173.31
279125	1.059691	-173.5993
279187.5	1.065457	-173.3413
279250	1.073265	-173.4465
279312.5	1.077026	-173.2771
279375	1.08462	-173.5765
279437.5	1.082449	-172.9046
279500	1.078708	-172.885
279562.5	1.087145	-173.0023
279625	1.086576	-173.8311
279687.5	1.095331	-173.5359
279750	1.105528	-173.4992
279812.5	1.105063	-172.9042
279875	1.100847	-172.781
279937.5	1.096682	-172.9511
280000	1.099117	-173.0422
280062.5	1.107685	-173.1399
280125	1.110881	-172.7462
280187.5	1.122555	-173.3564
280250	1.132927	-173.2297
280312.5	1.124089	-172.7846
280375	1.128827	-172.9988
280437.5	1.130802	-172.9741
280500	1.130955	-173.4195
280562.5	1.140652	-172.9971
280625	1.154164	-172.8339
280687.5	1.15261	-172.9225
280750	1.158515	-172.9839
280812.5	1.148158	-172.7109
280875	1.152484	-172.7467
280937.5	1.151034	-172.8469
281000	1.162408	-172.9844
281062.5	1.171162	-172.8422
281125	1.168762	-172.9645
281187.5	1.174256	-172.7195
281250	1.172658	-172.5324
281312.5	1.182384	-172.5857
281375	1.18279	-172.9164
281437.5	1.180447	-173.2184
281500	1.188324	-173.1324
281562.5	1.199014	-172.946
281625	1.206044	-172.6772
281687.5	1.199154	-172.5731
281750	1.208439	-172.5168
281812.5	1.201502	-172.7652
281875	1.21387	-172.6278
281937.5	1.219501	-172.9296
282000	1.227168	-173.1897
282062.5	1.231901	-172.1663
282125	1.220561	-172.282
282187.5	1.222242	-172.5182
282250	1.221039	-173.1579
282312.5	1.235189	-173.2235
282375	1.239809	-173.3957
282437.5	1.259981	-173.1152
282500	1.257931	-172.4607
282562.5	1.253801	-172.6634
282625	1.259378	-172.9734
282687.5	1.26461	-172.9292
282750	1.274027	-173.3483
282812.5	1.271772	-172.6961
282875	1.286411	-173.0885
282937.5	1.285587	-172.913
283000	1.283778	-172.8426
283062.5	1.288958	-172.7076
283125	1.283162	-173.0143
283187.5	1.297342	-172.8943
283250	1.2998	-173.3861
283312.5	1.308231	-172.7571
283375	1.318527	-172.7596
283437.5	1.315799	-173.0507
283500	1.313607	-172.3936
283562.5	1.31226	-172.8671
283625	1.323739	-173.1059
283687.5	1.338157	-173.259
283750	1.352322	-173.4638
283812.5	1.348024	-172.6579
283875	1.339555	-172.685
283937.5	1.33864	-173.2033
284000	1.355728	-173.3867
284062.5	1.351721	-173.6167
284125	1.366515	-173.5624
284187.5	1.373713	-173.3462
284250	1.373279	-173.3406
284312.5	1.382226	-173.3093
284375	1.384469	-173.022
284437.5	1.377188	-173.2327
284500	1.395727	-173.3796
284562.5	1.39247	-174.0355
284625	1.404749	-173.6915
284687.5	1.408902	-173.534
284750	1.425395	-173.475
284812.5	1.418479	-173.1333
284875	1.408519	-173.0688
284937.5	1.426657	-174.0047
285000	1.433556	-174.267
285062.5	1.440739	-173.9774
285125	1.443446	-173.3083
285187.5	1.447275	-173.6135
285250	1.443038	-173.3292
285312.5	1.441524	-173.5185
285375	1.450536	-174.1717
285437.5	1.465735	-173.9185
285500	1.4829	-174.597
285562.5	1.479677	-173.9545
285625	1.470367	-173.8882
285687.5	1.483056	-174.0577
285750	1.477941	-174.2869
285812.5	1.48087	-174.0977
285875	1.497536	-174.5243
285937.5	1.506616	-174.2505
286000	1.518496	-174.3215
286062.5	1.521664	-174.1802
286125	1.508256	-173.7113
286187.5	1.504501	-174.0137
286250	1.520352	-174.7161
286312.5	1.540339	-174.7381
286375	1.554932	-174.206
286437.5	1.551874	-174.2663
286500	1.554691	-174.4578
286562.5	1.542764	-174.5513
286625	1.556116	-174.4746
286687.5	1.570672	-174.7975
286750	1.570574	-174.9026
286812.5	1.583734	-174.6856
286875	1.584458	-174.8114
286937.5	1.594239	-174.5379
287000	1.586929	-174.8041
287062.5	1.604211	-175.1554
287125	1.60433	-175.3879
287187.5	1.619949	-175.0734
287250	1.626486	-175.6713
287312.5	1.634111	-175.4433
287375	1.640675	-174.7652
287437.5	1.645027	-174.8931
287500	1.628285	-174.9167
287562.5	1.639327	-175.7279
287625	1.663926	-175.8304
287687.5	1.675577	-175.9671
287750	1.691823	-175.342
287812.5	1.672506	-175.0517
287875	1.671477	-175.4893
287937.5	1.667703	-175.5058
288000	1.68909	-175.9451
288062.5	1.702094	-175.8898
288125	1.72159	-175.6874
288187.5	1.725897	-175.8184
288250	1.72078	-175.4745
288312.5	1.71244	-175.8891
288375	1.730281	-175.9792
288437.5	1.735242	-176.2026
288500	1.751203	-176.2154
288562.5	1.760178	-176.0075
288625	1.762758	-176.116
288687.5	1.767694	-176.0278
288750	1.760013	-176.4227
288812.5	1.778386	-176.1045
288875	1.788192	-177.0435
288937.5	1.78697	-177.1523
289000	1.816953	-176.484
289062.5	1.812286	-176.379
289125	1.832601	-176.8806
289187.5	1.813263	-176.6885
289250	1.823119	-177.3599
289312.5	1.838397	-177.1881
289375	1.85987	-177.217
289437.5	1.860349	-177.1115
289500	1.860902	-177.2897
289562.5	1.869057	-177.4517
289625	1.870299	-177.4878
289687.5	1.885151	-177.3939
289750	1.883705	-177.8958
289812.5	1.895148	-177.5587
289875	1.909754	-178.1656
289937.5	1.912953	-177.7206
290000	1.926649	-178.0947
290062.5	1.911697	-177.9081
290125	1.926653	-178.9497
290187.5	1.936866	-178.6301
290250	1.962715	-178.7746
290312.5	1.964268	-178.4321
290375	1.974612	-178.6545
290437.5	1.963386	-178.0715
290500	1.969496	-178.8551
290562.5	1.983349	-179.0549
290625	1.990755	-179.1363
290687.5	2.010352	-178.8307
290750	2.022758	-178.9278
290812.5	2.022433	-179.4196
290875	2.028919	-179.194
290937.5	2.02578	-179.53
291000	2.032137	-179.5591
291062.5	2.05256	179.9791
291125	2.05377	179.9194
291187.5	2.072297	-179.9399
291250	2.084821	-179.7066
291312.5	2.068402	-179.5987
291375	2.073925	-179.9744
291437.5	2.091139	179.4454
291500	2.110457	179.3057
291562.5	2.130791	179.2975
291625	2.12607	179.5236
291687.5	2.123843	179.5854
291750	2.114465	179.4777
291812.5	2.138998	179.0216
291875	2.157309	178.6383
291937.5	2.171337	178.6195
292000	2.178352	178.7175
292062.5	2.200724	178.4216
292125	2.188509	178.6444
292187.5	2.190429	178.6777
292250	2.206307	178.4083
292312.5	2.209785	178.3187
292375	2.23187	177.4253
292437.5	2.250288	177.6823
292500	2.264108	178.1498
292562.5	2.260323	177.681
292625	2.253108	177.9662
292687.5	2.25443	177.7638
292750	2.27432	177.1815
292812.5	2.285556	177.3993
292875	2.317941	177.3863
292937.5	2.320564	177.4616
293000	2.307866	176.9902
293062.5	2.299528	176.7448
293125	2.328645	176.3136
293187.5	2.343241	176.7414
293250	2.354831	176.3825
293312.5	2.371863	176.5574
293375	2.373776	176.4081
293437.5	2.375845	176.1447
293500	2.39002	176.1643
293562.5	2.403065	175.9312
293625	2.409476	175.0992
293687.5	2.432846	175.107
293750	2.447174	175.3826
293812.5	2.445727	175.5218
293875	2.46294	175.4959
293937.5	2.450682	175.3721
294000	2.453966	174.8752
294062.5	2.465803	174.6366
294125	2.50734	174.2362
294187.5	2.537934	174.6348
294250	2.521466	174.7299
294312.5	2.500545	174.548
294375	2.527322	174.0803
294437.5	2.537034	173.7964
294500	2.569006	173.9123
294562.5	2.581318	173.6572
294625	2.578045	173.7135
294687.5	2.605388	173.6871
294750	2.595325	173.5388
294812.5	2.588056	172.9029
294875	2.610063	172.944
294937.5	2.636503	173.0093
295000	2.666654	172.472
295062.5	2.675874	172.6179
295125	2.683525	173.0047
295187.5	2.6506	173.1422
295250	2.686946	172.0329
295312.5	2.689961	171.7515
295375	2.734731	171.7438
295437.5	2.751029	171.8689
295500	2.750005	171.878
295562.5	2.73796	172.031
295625	2.745547	171.4488
295687.5	2.771065	170.9243
295750	2.78699	170.7538
295812.5	2.803944	170.5396
295875	2.808219	171.3635
295937.5	2.823977	170.6871
296000	2.839631	170.781
296062.5	2.836003	170.6268
296125	2.857203	170.2455
296187.5	2.866467	169.9685
296250	2.902083	169.4735
296312.5	2.920526	169.817
296375	2.936272	170.101
296437.5	2.91827	169.1535
296500	2.936772	169.202
296562.5	2.942009	169.0133
296625	2.970402	168.5532
296687.5	3.004433	169.0845
296750	2.992038	169.1198
296812.5	3.013959	169.2371
296875	3.031744	168.6302
296937.5	3.022391	168.3498
297000	3.071227	167.9603
297062.5	3.096316	167.6303
297125	3.098823	167.929
297187.5	3.132261	168.0066
297250	3.11582	167.5829
297312.5	3.140892	167.6715
297375	3.137747	167.1199
297437.5	3.165903	166.5743
297500	3.193662	166.7548
297562.5	3.219273	166.6228
297625	3.244772	166.8657
297687.5	3.239685	166.5524
297750	3.236515	165.798
297812.5	3.260962	165.5589
297875	3.290144	165.4276
297937.5	3.32761	165.347
298000	3.343764	165.5208
298062.5	3.328857	165.6329
298125	3.365447	164.6715
298187.5	3.376892	164.3566
298250	3.383216	164.1828
298312.5	3.418163	164.0387
298375	3.442348	163.9846
298437.5	3.485182	164.0206
298500	3.47299	163.847
298562.5	3.492344	163.4999
298625	3.494251	163.1167
298687.5	3.531863	163.0015
298750	3.576061	162.4949
298812.5	3.610401	162.6375
298875	3.622613	162.5801
298937.5	3.609413	162.2991
299000	3.610689	162.0702
299062.5	3.635504	161.4622
299125	3.688994	161.2763
299187.5	3.724214	161.169
299250	3.751638	161.0529
299312.5	3.728426	161.4589
299375	3.754979	160.2873
299437.5	3.784156	159.9994
299500	3.801693	159.7542
299562.5	3.842087	159.8968
299625	3.878661	159.6508
299687.5	3.89539	159.2933
299750	3.909001	159.3201
299812.5	3.915273	158.7941
299875	3.925889	158.0701
299937.5	3.966369	157.7029
300000	4.00948	157.4506
300062.5	4.035408	157.6494
300125	4.082955	157.5012
300187.5	4.092146	157.696
300250	4.074718	156.3764
300312.5	4.131836	156.4053
300375	4.190623	155.5335
300437.5	4.236693	155.54
300500	4.258615	156.0651
300562.5	4.261444	155.4733
300625	4.256995	154.893
300687.5	4.292713	154.5243
300750	4.334354	154.0327
300812.5	4.371617	153.5069
300875	4.399714	153.5332
300937.5	4.446651	153.1868
301000	4.489376	152.9468
301062.5	4.478941	152.4389
301125	4.51352	151.8977
301187.5	4.544404	151.4806
301250	4.60489	150.7921
301312.5	4.630623	150.632
301375	4.675921	150.5524
301437.5	4.694069	150.0363
301500	4.668433	149.6202
301562.5	4.694447	148.6007
301625	4.776127	148.1033
301687.5	4.853029	147.9136
301750	4.851639	148.0938
301812.5	4.86234	147.7239
301875	4.838435	146.7834
301937.5	4.879837	146.0483
302000	4.944898	145.5994
302062.5	4.991038	145.0094
302125	5.025178	144.8621
302187.5	5.041068	144.7294
302250	5.079592	143.9022
302312.5	5.08088	143.4527
302375	5.099155	142.9594
302437.5	5.144174	141.8714
302500	5.216779	141.2219
302562.5	5.229575	141.0351
302625	5.246369	140.7222
302687.5	5.285378	140.209
302750	5.267745	139.3046
302812.5	5.292356	138.9092
302875	5.32583	138.1747
302937.5	5.402728	137.9533
303000	5.414321	137.5191
303062.5	5.401652	137.059
303125	5.416748	136.2719
303187.5	5.450441	135.3697
303250	5.457928	134.7559
303312.5	5.507125	134.3218
303375	5.527072	134.0773
303437.5	5.558436	133.3265
303500	5.567692	132.8013
303562.5	5.579018	132.3509
303625	5.582633	131.4527
303687.5	5.654289	130.7034
303750	5.718862	130.0054
303812.5	5.674729	129.5756
303875	5.709581	129.5238
303937.5	5.740483	128.7928
304000	5.7401	127.9013
304062.5	5.779702	127.0247
304125	5.84053	126.579
304187.5	5.857019	126.2886
304250	5.864347	125.9688
304312.5	5.875136	125.0772
304375	5.879789	124.8219
304437.5	5.87513	123.8296
304500	5.949691	122.7517
304562.5	5.977749	122.5038
304625	5.974937	122.216
304687.5	6.007766	121.0846
304750	5.979825	120.5486
304812.5	5.98438	119.6703
304875	6.011179	118.9033
304937.5	6.065339	118.2431
305000	6.140872	117.7659
305062.5	6.098925	117.3065
305125	6.109453	116.6694
305187.5	6.093898	115.9468
305250	6.088275	114.3343
305312.5	6.15258	113.7018
305375	6.204881	113.2254
305437.5	6.19254	113.0423
305500	6.196112	112.2175
305562.5	6.197742	111.2061
305625	6.183151	110.4155
305687.5	6.223174	109.7402
305750	6.284693	108.7425
305812.5	6.283604	108.1584
305875	6.271031	107.4416
305937.5	6.248188	107.054
306000	6.236261	105.9444
306062.5	6.238463	104.9172
306125	6.239295	104.0675
306187.5	6.295502	103.5017
306250	6.280779	102.5383
306312.5	6.30763	102.1758
306375	6.226824	101.6475
306437.5	6.205707	100.5187
306500	6.197107	99.12574
306562.5	6.238053	98.36404
306625	6.256505	97.66925
306687.5	6.230148	97.53701
306750	6.231389	96.47851
306812.5	6.186079	95.59763
306875	6.132239	94.14483
306937.5	6.16903	93.65449
307000	6.154467	92.80794
307062.5	6.129777	92.23748
307125	6.108113	91.59888
307187.5	6.067396	90.72141
307250	6.031909	89.9493
307312.5	6.000739	89.14665
307375	5.969714	88.31655
307437.5	5.957355	87.25108
307500	5.964677	86.69975
307562.5	5.884206	86.36813
307625	5.854043	85.35669
307687.5	5.836362	84.60378
307750	5.800245	83.50775
307812.5	5.820739	82.60252
307875	5.769541	82.63138
307937.5	5.709222	81.70429
308000	5.643646	81.04739
308062.5	5.598025	80.20958
308125	5.574288	79.03835
308187.5	5.567992	78.36633
308250	5.523278	77.77724
308312.5	5.491366	77.46501
308375	5.425361	77.07436
308437.5	5.38597	76.43161
308500	5.317711	75.84293
308562.5	5.302879	74.96199
308625	5.275902	74.01273
308687.5	5.24651	73.72276
308750	5.205405	73.33972
308812.5	5.118482	72.85127
308875	5.068262	71.80216
308937.5	5.013549	70.76284
309000	5.009812	70.48768
309062.5	5.000949	70.03706
309125	4.929917	69.85753
309187.5	4.866252	69.26073
309250	4.783796	68.53575
309312.5	4.751919	67.60591
309375	4.745272	67.03347
309437.5	4.716498	66.8997
309500	4.683842	66.74805
309562.5	4.616895	66.53085
309625	4.572856	65.6473
309687.5	4.51792	65.38656
309750	4.480242	64.38975
309812.5	4.443945	64.32187
309875	4.43735	63.71096
309937.5	4.428266	63.54745
310000	4.31883	63.44363
310062.5	4.28673	62.7583
310125	4.224543	62.10137
310187.5	4.223532	61.53855
310250	4.21363	61.48716
310312.5	4.159746	61.535
310375	4.110206	61.04034
310437.5	4.061103	60.72238
310500	3.979974	59.92316
310562.5	3.998985	59.78643
310625	3.955166	59.46437
310687.5	3.933093	59.40591
310750	3.890352	59.15768
310812.5	3.827682	58.77047
310875	3.795166	58.59392
310937.5	3.766158	57.99686
311000	3.747539	57.84342
311062.5	3.719767	57.58005
311125	3.713625	57.38922
311187.5	3.65728	57.37796
311250	3.602996	57.61794
311312.5	3.561937	56.75636
311375	3.545784	56.0498
311437.5	3.508741	56.36282
311500	3.496276	55.96964
311562.5	3.450315	56.38411
311625	3.433973	56.02119
311687.5	3.3799	55.52265
311750	3.370555	55.02399
311812.5	3.359707	55.27973
311875	3.322502	55.15966
311937.5	3.299575	55.09496
312000	3.267844	55.23666
312062.5	3.245046	54.78887
312125	3.178366	54.37576
312187.5	3.179953	54.56775
312250	3.161603	53.86159
312312.5	3.141448	54.04058
312375	3.122643	54.43669
312437.5	3.071419	53.96861
312500	3.058345	53.89297
312562.5	3.028482	53.81989
312625	3.029462	53.33949
312687.5	3.003576	53.80365
312750	2.978934	53.67213
312812.5	2.950777	53.58399
312875	2.910011	53.48814
312937.5	2.916255	52.72935
313000	2.886043	52.83232
313062.5	2.864672	52.88739
313125	2.846214	52.90371
313187.5	2.84453	53.05846
313250	2.805566	52.77996
313312.5	2.782676	52.73428
313375	2.761881	52.82901
313437.5	2.768521	52.64894
313500	2.754051	52.43389
313562.5	2.747995	52.757
313625	2.701733	52.56879
313687.5	2.698658	52.70171
313750	2.666047	51.81088
313812.5	2.664769	51.79895
313875	2.669853	52.37542
313937.5	2.644156	52.02951
314000	2.621948	52.07952
314062.5	2.601006	52.01614
314125	2.583783	51.68345
314187.5	2.57416	51.97061
314250	2.561673	51.82901
314312.5	2.55188	51.88933
314375	2.530053	51.89873
314437.5	2.512322	51.65665
314500	2.499413	51.73143
314562.5	2.484458	51.48911
314625	2.494875	51.23291
314687.5	2.492605	51.38026
314750	2.461654	51.7957
314812.5	2.453877	51.83104
314875	2.42933	51.61551
314937.5	2.424906	51.36623
315000	2.420536	50.73935
315062.5	2.415472	51.04865
315125	2.406637	51.32492
315187.5	2.376192	51.42671
315250	2.359179	50.89726
315312.5	2.345949	50.95119
315375	2.368095	50.67507
315437.5	2.35474	51.11391
315500	2.339965	51.28396
315562.5	2.319689	51.09064
315625	2.316346	51.02626
315687.5	2.295488	50.74274
315750	2.309066	50.85717
315812.5	2.301879	50.70152
315875	2.29481	50.6713
315937.5	2.281964	50.68684
316000	2.250863	50.64511
316062.5	2.246507	50.53824
316125	2.238271	49.57201
316187.5	2.240755	49.97602
316250	2.240194	50.24002
316312.5	2.229573	50.54314
316375	2.209384	50.24688
316437.5	2.17747	50.12032
316500	2.190943	49.69829
316562.5	2.186842	49.48387
316625	2.195698	49.86704
316687.5	2.181983	50.01452
316750	2.158997	50.00365
316812.5	2.140328	49.37694
316875	2.142586	49.16214
316937.5	2.135772	49.27433
317000	2.133872	49.00953
317062.5	2.131517	48.9078
317125	2.127303	49.25331
317187.5	2.110313	49.46805
317250	2.093523	49.017
317312.5	2.067983	48.22769
317375	2.088339	48.18427
317437.5	2.093679	48.38588
317500	2.085114	49.03043
317562.5	2.043031	48.85286
317625	2.033262	48.27274
317687.5	2.026841	47.81891
317750	2.027102	47.81578
317812.5	2.029052	47.84696
317875	2.025801	47.62908
317937.5	2.012664	48.02106
318000	1.995644	47.8269
318062.5	1.983203	47.35994
318125	1.975169	46.94083
318187.5	1.985364	46.99766
318250	1.990197	47.05815
318312.5	1.964471	47.61224
318375	1.957324	47.37056
318437.5	1.926922	47.03113
318500	1.923187	45.8171
318562.5	1.92843	46.01373
318625	1.945432	46.49085
318687.5	1.92569	46.65993
318750	1.905211	46.28519
318812.5	1.884716	46.32697
318875	1.884657	45.88275
318937.5	1.884623	45.53146
319000	1.890142	45.93881
319062.5	1.86778	45.88118
319125	1.855498	45.63973
319187.5	1.831854	45.87981
319250	1.82247	45.47222
319312.5	1.813054	45.15844
319375	1.827328	45.01335
319437.5	1.823327	44.53045
319500	1.811638	45.37574
319562.5	1.780653	45.38282
319625	1.764468	45.13461
319687.5	1.761789	44.31215
319750	1.761264	43.86456
319812.5	1.756472	44.2192
319875	1.744042	44.59982
319937.5	1.743721	44.76013
320000	1.723355	44.15707
320062.5	1.707498	44.33445
320125	1.703095	44.09647
320187.5	1.699792	43.98907
320250	1.695507	44.07497
320312.5	1.68288	44.00304
320375	1.675001	44.02477
320437.5	1.660348	43.5625
320500	1.648795	43.85366
320562.5	1.653957	43.44189
320625	1.644197	43.76076
320687.5	1.636403	44.15496
320750	1.621715	43.89824
320812.5	1.604739	43.73528
320875	1.595857	43.42767
320937.5	1.606255	43.40556
321000	1.600549	43.41626
321062.5	1.582154	43.96521
321125	1.562279	43.65675
321187.5	1.553101	43.42885
321250	1.551525	43.03437
321312.5	1.545754	43.63363
321375	1.540887	43.63452
321437.5	1.525187	43.7723
321500	1.521635	43.52222
321562.5	1.512747	43.36804
321625	1.485929	43.4949
321687.5	1.488006	43.54987
321750	1.494818	43.745
321812.5	1.482794	43.91776
321875	1.467334	43.78843
321937.5	1.457052	44.13926
322000	1.436809	43.80243
322062.5	1.439479	43.61234
322125	1.448073	43.87579
322187.5	1.439791	44.16962
322250	1.416058	44.42142
322312.5	1.408423	44.28568
322375	1.409452	44.13948
322437.5	1.400333	43.83491
322500	1.394025	44.4165
322562.5	1.387942	44.01468
322625	1.379522	44.60049
322687.5	1.362854	44.47863
322750	1.3554	44.62812
322812.5	1.348971	44.45419
322875	1.356755	44.74538
322937.5	1.345463	44.69582
323000	1.335714	45.24373
323062.5	1.321097	45.12176
323125	1.313522	45.12134
323187.5	1.310192	44.78878
323250	1.319472	45.09529
323312.5	1.298275	45.94904
323375	1.294002	46.28328
323437.5	1.275665	46.11721
323500	1.265143	45.51376
323562.5	1.273178	45.60794
323625	1.270624	45.881
323687.5	1.263064	46.49633
323750	1.258175	46.57023
323812.5	1.240238	46.87985
323875	1.233854	46.50613
323937.5	1.219428	46.72296
324000	1.22393	46.41294
324062.5	1.226041	46.7905
324125	1.219249	47.48096
324187.5	1.213206	47.56252
324250	1.187533	47.94451
324312.5	1.185031	47.30228
324375	1.190069	46.91414
324437.5	1.196892	48.14711
324500	1.191089	48.62045
324562.5	1.167388	48.58822
324625	1.15579	48.30479
324687.5	1.162069	48.3473
324750	1.166595	48.39806
324812.5	1.155913	48.72332
324875	1.155539	49.40497
324937.5	1.145975	49.81046
325000	1.134117	49.76817
325062.5	1.136375	49.90344
325125	1.128141	49.74162
325187.5	1.126691	50.09011
325250	1.125272	50.19009
325312.5	1.117682	51.42463
325375	1.109913	51.41967
325437.5	1.098103	51.19445
325500	1.104493	51.22013
325562.5	1.093267	50.8545
325625	1.102772	51.83048
325687.5	1.096836	52.50846
325750	1.074842	52.59696
325812.5	1.078389	52.32064
325875	1.068971	52.56961
325937.5	1.075545	53.28709
326000	1.080104	53.58435
326062.5	1.07376	53.80787
326125	1.064628	54.31823
326187.5	1.057556	54.47802
326250	1.056125	54.79294
326312.5	1.058489	54.95287
326375	1.064569	55.01366
326437.5	1.06485	55.28934
326500	1.054521	55.77975
326562.5	1.040731	56.28639
326625	1.037556	55.90042
326687.5	1.038304	56.11467
326750	1.04951	56.50274
326812.5	1.049869	57.56791
326875	1.03121	57.83456
326937.5	1.027691	57.63047
327000	1.037898	57.90431
327062.5	1.037487	58.09855
327125	1.034797	58.56137
327187.5	1.032588	59.33678
327250	1.025948	59.14759
327312.5	1.022402	59.20524
327375	1.02725	60.09712
327437.5	1.020926	59.6399
327500	1.029591	60.58464
327562.5	1.030103	60.79563
327625	1.029153	61.34196
327687.5	1.020269	61.91025
327750	1.011982	61.29694
327812.5	1.029797	61.7783
327875	1.024827	62.16108
327937.5	1.025587	62.63232
328000	1.024865	63.33847
328062.5	1.01625	63.38166
328125	1.019153	63.1825
328187.5	1.0334	63.24828
328250	1.028382	64.72234
328312.5	1.023382	64.22296
328375	1.02006	65.1123
328437.5	1.030408	65.24982
328500	1.031175	65.50896
328562.5	1.018957	65.61419
328625	1.031593	66.08224
328687.5	1.043309	66.23593
328750	1.041755	66.48291
328812.5	1.034577	67.54307
328875	1.032702	67.63186
328937.5	1.038544	67.57677
329000	1.047411	67.89764
329062.5	1.051882	68.41335
329125	1.044853	68.86378
329187.5	1.053539	69.09167
329250	1.061526	69.12294
329312.5	1.063597	68.83791
329375	1.067733	70.11047
329437.5	1.06125	70.29561
329500	1.06126	70.76473
329562.5	1.065979	70.67945
329625	1.074879	70.53166
329687.5	1.088621	71.40408
329750	1.091384	71.41518
329812.5	1.101772	71.40553
329875	1.099337	72.17251
329937.5	1.090283	72.94529
330000	1.089404	72.61754
330062.5	1.097674	72.71844
330125	1.116847	72.62302
330187.5	1.125074	72.94851
330250	1.118262	73.71168
330312.5	1.127508	74.12265
330375	1.125029	73.76678
330437.5	1.136142	73.76498
330500	1.134757	73.84898
330562.5	1.151845	74.39171
330625	1.154413	74.67847
330687.5	1.148422	74.84762
330750	1.15407	74.97098
330812.5	1.162052	74.83744
330875	1.168328	74.49264
330937.5	1.177715	74.90395
331000	1.188126	75.66273
331062.5	1.188411	75.89132
331125	1.179621	75.18526
331187.5	1.198249	75.33066
331250	1.211985	74.88224
331312.5	1.228409	75.4397
331375	1.220849	75.79883
331437.5	1.21998	76.12148
331500	1.223844	76.0086
331562.5	1.235723	75.77985
331625	1.249468	75.94859
331687.5	1.255013	76.01217
331750	1.256748	76.64955
331812.5	1.262757	76.44255
331875	1.270893	76.57291
331937.5	1.277577	76.44785
332000	1.278738	76.16772
332062.5	1.290786	75.91728
332125	1.294738	76.23203
332187.5	1.303564	76.72267
332250	1.301665	76.42398
332312.5	1.303366	76.18321
332375	1.325673	75.93552
332437.5	1.332959	76.5234
332500	1.35507	76.55027
332562.5	1.336666	76.92389
332625	1.337045	76.25942
332687.5	1.346345	75.72203
332750	1.358236	75.516
332812.5	1.379215	75.96883
332875	1.379992	76.3012
332937.5	1.388703	76.10295
333000	1.38262	75.7688
333062.5	1.38892	75.81721
333125	1.40319	75.67352
333187.5	1.422344	75.65352
333250	1.427263	75.78831
333312.5	1.428488	76.25996
333375	1.423145	75.83363
333437.5	1.427525	75.35333
333500	1.43959	75.3013
